Exchange Date,Close,Net,%Chg,Bid,Ask,Implied Volatility,Ask Implied Volatility,Bid Implied Volatility,Delta,Theta,Gamma,Open Interest,Rho,Vega,Mid Price
10-Aug-2023,479.2,-59.2,-11.0%,,,15.3,,,-0.7,0.1,0.0,0,-25.5,11.0,
09-Aug-2023,538.4,-21.9,-3.9%,,,16.0,,,-0.8,0.1,0.0,0,-26.4,11.0,
08-Aug-2023,560.3,+44.8,+8.7%,,,16.0,,,-0.8,0.1,0.0,0,-26.9,11.1,
07-Aug-2023,515.5,-5.0,-1.0%,,,15.2,,,-0.8,0.1,0.0,0,-26.5,11.2,
04-Aug-2023,520.5,-32.6,-5.9%,,,15.4,,,-0.8,0.1,0.0,0,-26.8,11.2,
03-Aug-2023,553.1,+28.2,+5.4%,,,16.4,,,-0.8,0.1,0.0,0,-26.9,11.1,
02-Aug-2023,524.9,+67.1,+14.7%,,,16.1,,,-0.7,0.1,0.0,0,-26.6,11.1,
01-Aug-2023,457.8,+50.6,+12.4%,,,14.9,,,-0.7,0.1,0.0,0,-25.9,11.2,
31-Jul-2023,407.2,+3.3,+0.8%,,,14.4,,,-0.7,-0.0,0.0,0,-24.9,14.2,
28-Jul-2023,403.9,-17.8,-4.2%,,,14.0,,,-0.7,-0.0,0.0,0,-25.3,14.4,
27-Jul-2023,421.7,-80.8,-16.1%,,,14.3,,,-0.7,-0.0,0.0,0,-25.7,14.4,
26-Jul-2023,502.5,+36.4,+7.8%,,,14.9,,,-0.7,0.1,0.0,0,-27.5,11.5,
25-Jul-2023,466.1,-3.5,-0.7%,,,14.7,,,-0.7,0.1,0.0,0,-26.8,11.5,
24-Jul-2023,469.6,+5.2,+1.1%,445.9,500.9,14.4,16.9,12.5,-0.7,0.1,0.0,0,-27.2,11.6,473.4
21-Jul-2023,464.4,-15.9,-3.3%,,,14.5,,,-0.7,0.1,0.0,0,-27.2,11.6,
20-Jul-2023,480.3,-7.5,-1.5%,,,14.7,,,-0.7,0.1,0.0,0,-27.5,11.6,
19-Jul-2023,487.8,+8.1,+1.7%,,,14.6,,,-0.7,0.1,0.0,0,-27.9,11.7,
18-Jul-2023,479.7,-12.6,-2.6%,,,14.5,,,-0.7,0.1,0.0,0,-27.8,11.8,
17-Jul-2023,492.3,+37.0,+8.1%,,,14.7,,,-0.7,0.1,0.0,0,-28.0,11.7,
14-Jul-2023,455.3,-5.4,-1.2%,,,14.4,,,-0.7,0.1,0.0,0,-27.6,11.7,
13-Jul-2023,460.7,-22.8,-4.7%,,,14.3,,,-0.7,0.1,0.0,0,-27.9,11.8,
12-Jul-2023,483.5,-65.3,-11.9%,,,14.3,,,-0.7,0.1,0.0,0,-28.5,12.0,
11-Jul-2023,548.8,-30.8,-5.3%,,,15.1,,,-0.8,0.1,0.0,0,-29.6,12.0,
10-Jul-2023,579.6,-16.9,-2.8%,,,15.7,,,-0.8,0.1,0.0,0,-29.9,11.9,
07-Jul-2023,596.5,-15.2,-2.5%,,,15.7,,,-0.8,0.1,0.0,0,-30.6,12.0,
06-Jul-2023,611.7,+109.8,+21.9%,,,16.1,,,-0.8,0.1,0.0,0,-30.8,12.0,
05-Jul-2023,501.9,+36.7,+7.9%,,,14.9,,,-0.7,0.1,0.0,0,-29.1,11.9,
04-Jul-2023,465.2,+8.3,+1.8%,,,14.4,,,-0.7,0.1,0.0,0,-28.6,11.9,
03-Jul-2023,456.9,+0.2,+0.0%,,,14.2,,,-0.7,0.1,0.0,0,-28.6,12.0,
30-Jun-2023,456.7,-38.8,-7.8%,,,14.3,,,-0.7,0.1,0.0,0,-28.8,12.0,
29-Jun-2023,495.5,-5.3,-1.1%,,,14.8,,,-0.7,0.1,0.0,0,-29.5,12.1,
28-Jun-2023,500.8,-36.7,-6.8%,,,14.7,,,-0.7,0.1,0.0,0,-29.8,12.2,
27-Jun-2023,537.5,-22.4,-4.0%,,,15.2,,,-0.7,0.1,0.0,0,-30.4,12.1,
26-Jun-2023,559.9,-11.0,-1.9%,,,15.5,,,-0.8,0.1,0.0,0,-30.8,12.1,
23-Jun-2023,570.9,+30.6,+5.7%,,,16.0,,,-0.7,0.1,0.0,0,-31.0,12.1,
22-Jun-2023,540.3,+16.5,+3.2%,,,15.5,,,-0.7,0.1,0.0,0,-30.7,12.1,
21-Jun-2023,523.8,+10.1,+2.0%,,,15.1,,,-0.7,0.1,0.0,0,-30.7,12.2,
20-Jun-2023,513.7,+13.9,+2.8%,,,15.5,,,-0.7,0.1,0.0,0,-30.2,12.0,
19-Jun-2023,499.8,+33.6,+7.2%,,,15.2,,,-0.7,0.1,0.0,0,-30.1,12.0,
16-Jun-2023,466.2,-27.3,-5.5%,,,14.5,,,-0.7,0.0,0.0,0,-30.0,15.5,
15-Jun-2023,493.5,+6.4,+1.3%,,,15.2,,,-0.7,-0.0,0.0,0,-30.3,15.4,
14-Jun-2023,487.1,-20.5,-4.0%,,,15.2,,,-0.7,-0.0,0.0,0,-30.1,15.4,
13-Jun-2023,507.6,-31.3,-5.8%,,,15.2,,,-0.7,0.1,0.0,0,-30.8,12.2,
12-Jun-2023,538.9,-24.8,-4.4%,,,15.7,,,-0.7,0.1,0.0,0,-31.3,12.2,
09-Jun-2023,563.7,+9.4,+1.7%,,,16.2,,,-0.7,0.1,0.0,0,-31.8,12.2,
08-Jun-2023,554.3,-4.1,-0.7%,,,15.9,,,-0.7,0.1,0.0,0,-32.0,12.3,
07-Jun-2023,558.4,-1.5,-0.3%,,,15.9,,,-0.7,0.1,0.0,0,-32.0,12.3,
06-Jun-2023,559.9,-2.1,-0.4%,,,16.1,,,-0.7,0.1,0.0,0,-32.0,12.2,
05-Jun-2023,562.0,+16.6,+3.0%,,,16.3,,,-0.7,0.1,0.0,0,-32.0,12.2,
02-Jun-2023,545.4,-51.2,-8.6%,,,16.6,,,-0.7,-0.0,0.0,0,-31.5,15.4,
01-Jun-2023,596.6,-41.5,-6.5%,,,16.8,,,-0.7,0.1,0.0,0,-32.8,12.2,
31-May-2023,638.1,+69.9,+12.3%,,,17.8,,,-0.7,0.1,0.0,0,-33.1,12.1,
30-May-2023,568.2,+14.8,+2.7%,,,16.3,,,-0.7,0.1,0.0,0,-32.6,12.3,
29-May-2023,553.4,+14.8,+2.7%,,,16.6,,,-0.7,-0.0,0.0,0,-31.8,15.5,
26-May-2023,538.6,-53.7,-9.1%,,,16.6,,,-0.7,-0.0,0.0,0,-31.8,15.5,
25-May-2023,592.3,-8.7,-1.4%,,,17.1,,,-0.7,0.1,0.0,0,-33.0,12.3,
24-May-2023,601.0,+66.1,+12.4%,,,17.4,,,-0.7,0.1,0.0,0,-33.1,12.2,
23-May-2023,534.9,+31.3,+6.2%,,,16.5,,,-0.7,-0.0,0.0,0,-32.0,15.6,
22-May-2023,503.6,+2.9,+0.6%,,,15.9,,,-0.7,-0.0,0.0,0,-31.6,15.7,
19-May-2023,500.7,-24.9,-4.7%,,,16.2,,,-0.7,-0.0,0.0,0,-31.5,15.6,
18-May-2023,525.6,-39.9,-7.1%,,,16.8,,,-0.7,-0.0,0.0,0,-33.1,15.7,
17-May-2023,565.5,-2.6,-0.5%,,,16.8,,,-0.7,-0.0,0.0,0,-33.1,15.7,
16-May-2023,568.1,-6.7,-1.2%,,,16.7,,,-0.7,-0.0,0.0,0,-33.4,15.7,
15-May-2023,574.8,-0.9,-0.2%,,,17.0,,,-0.7,-0.0,0.0,0,-33.4,15.7,
12-May-2023,575.7,-14.0,-2.4%,,,16.7,,,-0.7,-0.0,0.0,0,-34.0,15.9,
11-May-2023,589.7,-8.4,-1.4%,,,17.0,,,-0.7,-0.0,0.0,0,-34.1,15.8,
10-May-2023,598.1,+13.9,+2.4%,,,17.5,,,-0.7,-0.0,0.0,0,-34.0,15.7,
09-May-2023,584.2,+16.2,+2.9%,,,16.8,,,-0.7,-0.0,0.0,0,-33.9,15.9,
08-May-2023,568.0,-10.6,-1.8%,,,16.8,,,-0.7,-0.0,0.0,0,-33.9,15.9,
05-May-2023,578.6,-45.4,-7.3%,,,16.8,,,-0.7,-0.0,0.0,0,-34.5,15.9,
04-May-2023,624.0,+29.5,+5.0%,,,17.0,,,-0.7,0.1,0.0,0,-35.6,12.6,
03-May-2023,594.5,-16.4,-2.7%,,,16.2,,,-0.7,0.1,0.0,0,-35.5,12.8,
02-May-2023,610.9,+48.7,+8.7%,,,16.5,,,-0.7,0.1,0.0,0,-35.9,12.9,
28-Apr-2023,562.2,-2.9,-0.5%,,,16.5,,,-0.7,-0.0,0.0,0,-34.8,16.2,
27-Apr-2023,565.1,-14.0,-2.4%,,,16.5,,,-0.7,-0.0,0.0,0,-34.9,16.2,
26-Apr-2023,579.1,+25.4,+4.6%,,,16.9,,,-0.7,-0.0,0.0,0,-35.0,16.2,
25-Apr-2023,553.7,+17.1,+3.2%,,,16.3,,,-0.7,-0.0,0.0,0,-34.8,16.3,
24-Apr-2023,536.6,-4.3,-0.8%,,,16.7,,,-0.7,-0.0,0.0,0,-34.5,16.3,
21-Apr-2023,540.9,-14.5,-2.6%,,,16.7,,,-0.7,-0.0,0.0,0,-34.3,16.1,
20-Apr-2023,555.4,+10.7,+2.0%,,,16.7,,,-0.7,-0.2,0.0,0,-34.9,16.2,
19-Apr-2023,544.7,-3.2,-0.6%,,,16.5,,,-0.7,-0.0,0.0,0,-34.8,16.3,
18-Apr-2023,547.9,-19.6,-3.5%,,,16.6,,,-0.7,-0.0,0.0,0,-34.8,16.2,
17-Apr-2023,567.5,+11.1,+2.0%,,,16.8,,,-0.7,-0.0,0.0,0,-35.4,16.3,
14-Apr-2023,556.4,-18.9,-3.3%,,,17.0,,,-0.7,-0.0,0.0,0,-35.0,16.2,
13-Apr-2023,575.3,-23.1,-3.9%,,,17.0,,,-0.7,-0.0,0.0,0,-35.8,16.3,
12-Apr-2023,598.4,-2.0,-0.3%,,,17.2,,,-0.7,-0.0,0.0,0,-36.4,16.3,
11-Apr-2023,600.4,-26.9,-4.3%,,,17.1,,,-0.7,-0.0,0.0,0,-36.6,16.3,
06-Apr-2023,627.3,-18.0,-2.8%,,,17.6,,,-0.7,-0.0,0.0,0,-37.4,16.3,
05-Apr-2023,645.3,+24.8,+4.0%,,,18.3,,,-0.7,-0.1,0.0,0,-37.3,16.2,
04-Apr-2023,620.5,-5.7,-0.9%,,,17.6,,,-0.7,-0.0,0.0,0,-37.3,16.3,
03-Apr-2023,626.2,+4.6,+0.7%,,,17.7,,,-0.7,-0.0,0.0,0,-37.5,16.4,
31-Mar-2023,621.6,-21.7,-3.4%,,,17.7,,,-0.7,-0.0,0.0,0,-37.6,16.4,
30-Mar-2023,643.3,-52.1,-7.5%,649.0,,17.8,,18.2,-0.7,-0.0,0.0,0,-38.2,16.5,324.5
29-Mar-2023,695.4,-47.4,-6.4%,,,18.6,,,-0.7,0.0,0.0,0,-39.1,12.8,
28-Mar-2023,742.8,-5.7,-0.8%,,,18.5,,,-0.7,0.0,0.0,0,-40.3,13.0,
27-Mar-2023,748.5,-41.3,-5.2%,,,18.6,,,-0.7,0.0,0.0,0,-40.4,12.9,
24-Mar-2023,789.8,+75.1,+10.5%,,,19.6,,,-0.7,0.0,0.0,0,-40.8,12.8,
23-Mar-2023,714.7,-2.7,-0.4%,,,18.6,,,-0.7,0.0,0.0,0,-40.0,13.0,
22-Mar-2023,717.4,-23.1,-3.1%,,,18.0,,,-0.7,0.0,0.0,0,-40.6,13.1,
21-Mar-2023,740.5,-64.3,-8.0%,,,18.5,,,-0.7,0.0,0.0,0,-40.9,13.0,
20-Mar-2023,804.8,,,802.8,,19.5,,,-0.8,0.0,0.0,0,-41.6,12.8,401.4
17-Mar-2023,,,,,,,,,,,,0,,,
