Exchange Date,Close,Implied Volatility,Delta,Theta,Gamma,Open Interest,Rho,Vega,Strike Price,Days to Maturity,Close_Index,Log Forward Moneyness
2023-04-19,479.1,16.7,-0.6,-0.0,0.0,0.0,-32.1,15.6,4800,366,4393.57,0.05568422041816608
2023-04-20,330.0,18.2,-0.5,-0.3,0.0,0.0,-24.0,17.6,4500,365,4384.86,-0.006780301514248597
2023-04-20,521.6,16.7,-0.7,-0.2,0.0,0.0,-33.5,15.9,4850,365,4384.86,0.06812100665886926
2023-04-20,402.1,17.3,-0.6,-0.3,0.0,0.0,-28.0,17.2,4650,365,4384.86,0.02600952130874235
2023-04-20,627.3,16.7,-0.7,-0.2,0.0,0.0,-37.4,13.2,5000,365,4384.86,0.09858021414357777
2023-04-20,429.5,17.2,-0.6,-0.3,0.0,0.0,-29.4,17.6,4700,365,4384.86,0.036704810425490154
2023-04-20,489.3,16.9,-0.6,-0.3,0.0,0.0,-32.2,15.6,4800,365,4384.86,0.057758219623322615
2023-04-20,376.5,17.6,-0.5,-0.3,0.0,0.0,-26.6,16.9,4600,365,4384.86,0.01519860520452666
2023-04-20,458.6,17.1,-0.6,-0.3,0.0,0.0,-30.8,15.3,4750,365,4384.86,0.047286919756027154
2023-04-20,352.5,17.9,-0.5,-0.3,0.0,0.0,-25.3,16.5,4550,365,4384.86,0.004269534672336329
2023-04-20,572.8,16.7,-0.7,-0.2,0.0,0.0,-35.5,16.4,4925,365,4384.86,0.08346657633352951
2023-04-20,555.4,16.7,-0.7,-0.2,0.0,0.0,-34.9,16.2,4900,365,4384.86,0.07837750682605821
2023-04-21,540.9,16.7,-0.7,-0.0,0.0,0.0,-34.3,16.1,4900,364,4408.59,0.07306988371393838
2023-04-21,611.7,16.8,-0.7,0.1,0.0,0.0,-36.9,13.1,5000,364,4408.59,0.09327259103145771
2023-04-21,343.2,18.1,-0.5,-0.2,0.0,0.0,-24.7,17.8,4550,364,4408.59,-0.0010380884397835706
2023-04-21,321.3,18.3,-0.5,-0.2,0.0,0.0,-23.4,17.5,4500,364,4408.59,-0.012087924626368478
2023-04-21,476.2,17.0,-0.6,-0.0,0.0,0.0,-31.6,15.5,4800,364,4408.59,0.052450596511202624
2023-04-21,558.1,16.7,-0.7,-0.0,0.0,0.0,-35.0,16.3,4925,364,4408.59,0.07815895322140969
2023-04-21,446.3,17.2,-0.6,-0.1,0.0,0.0,-30.2,17.8,4750,364,4408.59,0.04197929664390718
2023-04-21,366.5,17.7,-0.5,-0.1,0.0,0.0,-26.1,16.8,4600,364,4408.59,0.009890982092406742
2023-04-21,391.4,17.5,-0.5,-0.1,0.0,0.0,-27.4,17.1,4650,364,4408.59,0.020701898196622413
2023-04-21,507.8,16.8,-0.6,-0.0,0.0,0.0,-32.9,15.8,4850,364,4408.59,0.06281338354674924
2023-04-21,418.0,17.3,-0.6,-0.1,0.0,0.0,-28.8,17.5,4700,364,4408.59,0.03139718731337041
2023-04-24,414.9,17.3,-0.6,-0.1,0.0,0.0,-28.9,17.5,4700,361,4401.8,0.03320731670196178
2023-04-24,319.3,18.3,-0.5,-0.2,0.0,0.0,-23.4,17.5,4500,361,4401.8,-0.010277795237777028
2023-04-24,442.8,17.2,-0.6,-0.0,0.0,0.0,-30.3,15.2,4750,361,4401.8,0.04378942603249882
2023-04-24,503.7,16.8,-0.7,-0.0,0.0,0.0,-33.1,16.0,4850,361,4401.8,0.0646235129353408
2023-04-24,341.0,18.1,-0.5,-0.1,0.0,0.0,-24.7,16.4,4550,361,4401.8,0.0007720409488080527
2023-04-24,472.4,17.0,-0.6,-0.0,0.0,0.0,-31.7,15.6,4800,361,4401.8,0.05426072589979412
2023-04-24,607.0,16.8,-0.7,0.1,0.0,0.0,-37.2,13.4,5000,361,4401.8,0.09508272042004923
2023-04-24,553.6,16.7,-0.7,0.0,0.0,0.0,-35.2,16.5,4925,361,4401.8,0.07996908261000112
2023-04-24,536.6,16.7,-0.7,-0.0,0.0,0.0,-34.5,16.3,4900,361,4401.8,0.07488001310252979
2023-04-24,364.1,17.7,-0.5,-0.1,0.0,0.0,-26.1,16.8,4600,361,4401.8,0.011701111480998205
2023-04-24,388.7,17.5,-0.6,-0.1,0.0,0.0,-27.5,17.2,4650,361,4401.8,0.022512027585213937
2023-04-25,520.4,16.4,-0.7,-0.0,0.0,0.0,-33.5,16.0,4850,360,4377.85,0.07016891386135495
2023-04-25,376.9,17.4,-0.5,-0.1,0.0,0.0,-26.5,16.8,4600,360,4377.85,0.017246512407012537
2023-04-25,458.3,16.8,-0.6,-0.0,0.0,0.0,-30.7,15.2,4750,360,4377.85,0.04933482695851308
2023-04-25,624.6,16.1,-0.7,0.1,0.0,0.0,-37.5,13.4,5000,360,4377.85,0.10062812134606351
2023-04-25,488.6,16.6,-0.6,-0.0,0.0,0.0,-32.1,15.6,4800,360,4377.85,0.05980612682580842
2023-04-25,353.2,17.8,-0.5,-0.1,0.0,0.0,-25.2,16.5,4550,360,4377.85,0.006317441874822336
2023-04-25,402.4,17.2,-0.6,-0.1,0.0,0.0,-27.9,17.2,4650,360,4377.85,0.0280574285112281
2023-04-25,331.1,18.1,-0.5,-0.2,0.0,0.0,-23.8,17.5,4500,360,4377.85,-0.004732394311762793
2023-04-25,429.6,17.0,-0.6,-0.1,0.0,0.0,-29.3,17.5,4700,360,4377.85,0.038752717627976
2023-04-25,570.9,16.3,-0.7,-0.0,0.0,0.0,-35.5,16.4,4925,360,4377.85,0.08551448353601533
2023-04-25,553.7,16.3,-0.7,-0.0,0.0,0.0,-34.8,16.3,4900,360,4377.85,0.08042541402854418
2023-04-26,348.7,18.5,-0.5,-0.2,0.0,0.0,-24.3,17.5,4500,359,4347.71,0.002265661320359251
2023-04-26,481.0,17.3,-0.6,-0.0,0.0,0.0,-31.0,15.2,4750,359,4347.71,0.05633288259063485
2023-04-26,596.7,16.9,-0.7,0.0,0.0,0.0,-35.7,16.3,4925,359,4347.71,0.09251253916813734
2023-04-26,451.4,17.5,-0.6,-0.1,0.0,0.0,-29.7,17.5,4700,359,4347.71,0.045750773260097896
2023-04-26,544.9,16.9,-0.7,-0.0,0.0,0.0,-33.7,15.9,4850,359,4347.71,0.07716696949347684
2023-04-26,579.1,16.9,-0.7,-0.0,0.0,0.0,-35.0,16.2,4900,359,4347.71,0.08742346966066596
2023-04-26,371.9,18.1,-0.5,-0.1,0.0,0.0,-25.6,16.5,4550,359,4347.71,0.013315497506944232
2023-04-26,396.7,17.8,-0.6,-0.1,0.0,0.0,-27.0,16.8,4600,359,4347.71,0.02424456803913451
2023-04-26,651.8,16.7,-0.7,0.1,0.0,0.0,-37.5,13.2,5000,359,4347.71,0.10762617697818543
2023-04-26,512.2,17.0,-0.7,-0.0,0.0,0.0,-32.4,15.5,4800,359,4347.71,0.06680418245793025
2023-04-26,423.3,17.6,-0.6,-0.1,0.0,0.0,-28.3,17.2,4650,359,4347.71,0.03505548414335014
2023-04-27,361.8,17.9,-0.5,-0.1,0.0,0.0,-25.3,16.5,4550,358,4358.05,0.011029646641095892
2023-04-27,439.1,17.2,-0.6,-0.1,0.0,0.0,-29.4,17.5,4700,358,4358.05,0.04346492239424973
2023-04-27,531.3,16.5,-0.7,-0.0,0.0,0.0,-33.6,15.9,4850,358,4358.05,0.07488111862762864
2023-04-27,386.0,17.6,-0.5,-0.1,0.0,0.0,-26.7,16.8,4600,358,4358.05,0.021958717173286155
2023-04-27,637.3,16.2,-0.7,0.1,0.0,0.0,-37.5,13.3,5000,358,4358.05,0.10534032611233718
2023-04-27,565.1,16.5,-0.7,-0.0,0.0,0.0,-34.9,16.2,4900,358,4358.05,0.08513761879481774
2023-04-27,582.6,16.5,-0.7,0.1,0.0,0.0,-35.6,12.9,4925,358,4358.05,0.09022668830228901
2023-04-27,339.1,18.3,-0.5,-0.2,0.0,0.0,-24.0,17.5,4500,358,4358.05,-2.0189545489077644e-05
2023-04-27,411.7,17.3,-0.6,-0.1,0.0,0.0,-28.1,17.1,4650,358,4358.05,0.03276963327750178
2023-04-27,468.2,16.9,-0.6,-0.0,0.0,0.0,-30.8,15.2,4750,358,4358.05,0.054047031724786664
2023-04-27,498.9,16.7,-0.7,-0.0,0.0,0.0,-32.2,15.6,4800,358,4358.05,0.06451833159208206
2023-04-28,579.8,16.5,-0.7,0.1,0.0,0.0,-35.5,12.9,4925,357,4359.31,0.09002719899655166
2023-04-28,335.6,18.3,-0.5,-0.2,0.0,0.0,-23.9,17.5,4500,357,4359.31,-0.0002196788512264491
2023-04-28,464.9,16.9,-0.6,-0.0,0.0,0.0,-30.7,15.2,4750,357,4359.31,0.05384754241904936
2023-04-28,358.3,17.9,-0.5,-0.1,0.0,0.0,-25.2,16.4,4550,357,4359.31,0.010830157335358534
2023-04-28,562.2,16.5,-0.7,-0.0,0.0,0.0,-34.8,16.2,4900,357,4359.31,0.08493812948908047
2023-04-28,634.9,16.2,-0.7,0.1,0.0,0.0,-37.4,13.3,5000,357,4359.31,0.10514083680659994
2023-04-28,382.5,17.6,-0.5,-0.1,0.0,0.0,-26.6,16.8,4600,357,4359.31,0.021759227867548813
2023-04-28,408.3,17.3,-0.6,-0.1,0.0,0.0,-28.0,17.1,4650,357,4359.31,0.03257014397176445
2023-04-28,495.7,16.7,-0.7,-0.0,0.0,0.0,-32.1,15.6,4800,357,4359.31,0.06431884228634478
2023-04-28,435.8,17.2,-0.6,-0.1,0.0,0.0,-29.4,17.5,4700,357,4359.31,0.04326543308851242
